time,Q1,Q2,TC1,TC2
0,0,0,22.825,22.825
2.991,0,0,22.825,22.825
5.983,100,0,23.314,23.314
8.982,100,0,23.314,23.314
11.973,100,0,23.314,23.314
14.965,100,0,23.803,23.314
17.961,100,0,24.291,23.314
20.966,100,0,24.78,23.314
23.967,100,0,25.269,23.314
26.965,100,0,25.758,23.314
29.961,100,0,26.735,23.314
32.952,100,0,27.224,23.314
35.953,100,0,28.201,23.314
38.953,100,0,28.69,23.803
41.943,100,0,29.179,23.803
44.937,100,0,29.668,23.803
47.942,100,0,30.156,23.803
50.934,100,0,30.645,23.803
53.938,100,0,31.623,23.803
56.929,100,0,32.6,24.291
59.932,100,0,33.578,24.291
62.93,100,0,34.066,24.291
65.92,100,0,35.044,24.291
68.923,100,0,35.533,24.291
71.92,100,60,36.51,24.78
74.913,100,60,36.022,25.758
77.912,100,60,35.533,25.758
80.914,100,60,36.022,26.246
83.908,100,60,36.999,25.758
86.914,100,60,36.999,26.246
89.913,100,60,37.977,26.735
92.911,100,60,36.51,27.224
95.915,100,60,35.533,28.201
98.906,100,60,36.022,27.224
101.91,100,60,36.51,27.224
104.9,100,60,36.999,27.713
107.89,100,60,37.977,27.713
110.89,100,60,38.465,28.69
113.89,100,60,38.954,29.179
116.89,100,60,39.932,28.201
119.89,100,60,40.42,29.179
122.89,100,60,40.909,29.179
125.89,100,60,41.398,29.179
128.88,100,60,41.887,29.668
131.87,100,60,42.864,30.156
134.87,100,60,43.353,30.645
137.88,100,60,44.33,31.623
140.87,100,60,44.819,31.623
143.87,100,60,44.819,30.645
146.87,0,60,45.797,31.623
149.87,0,60,46.285,33.089
152.86,0,60,46.774,32.6
155.86,0,60,47.263,32.6
158.85,0,60,47.752,33.089
161.86,0,60,47.752,33.578
164.85,0,60,47.752,34.555
167.86,0,60,47.752,34.066
170.86,0,60,47.263,34.555
173.85,0,60,47.263,34.555
176.85,0,60,47.263,35.044
179.85,0,60,47.263,35.533
182.85,0,60,46.774,36.022
185.84,0,60,46.285,35.533
188.83,0,60,46.285,36.51
191.84,0,60,45.797,37.488
194.83,0,60,45.308,37.488
197.82,0,60,45.308,36.999
200.83,0,60,44.819,36.999
203.83,0,60,44.33,38.465
206.83,0,60,44.33,37.488
209.82,0,60,43.842,37.977
212.81,0,60,43.842,38.465
215.8,0,60,43.353,37.977
218.79,0,60,42.864,38.954
221.79,0,100,42.864,38.954
224.78,0,100,42.864,38.465
227.78,0,100,42.375,39.443
230.78,0,100,41.887,38.465
233.77,0,100,41.887,39.932
236.76,0,100,41.398,40.42
239.76,0,100,41.398,40.42
242.76,0,100,40.909,40.909
245.75,0,100,40.909,41.398
248.75,0,100,40.42,41.398
251.74,0,100,40.42,41.398
254.74,0,100,39.932,40.909
257.74,0,100,39.932,41.887
260.74,0,100,39.443,41.398
263.74,0,100,39.443,41.887
266.74,0,100,38.954,42.864
269.74,0,100,38.954,42.864
272.73,0,100,38.954,43.353
275.73,0,100,38.954,42.864
278.73,0,100,38.465,44.33
281.73,0,100,38.465,44.33
284.72,0,100,37.977,43.353
287.71,0,100,37.488,44.33
290.7,0,100,37.488,44.819
293.71,0,100,36.999,45.308
296.7,80,100,36.999,45.797
299.7,80,100,37.488,45.797
302.7,80,100,37.488,46.285
305.69,80,100,37.488,46.285
308.69,80,100,37.488,45.797
311.68,80,100,37.977,46.285
314.68,80,100,38.465,46.285
317.68,80,100,38.465,47.263
320.68,80,100,38.954,45.797
323.67,80,100,39.443,47.752
326.67,80,100,39.932,46.774
329.67,80,100,40.42,47.752
332.66,80,100,40.42,46.774
335.66,80,100,40.909,47.263
338.66,80,100,42.375,47.752
341.66,80,100,42.375,47.752
344.65,80,100,43.353,48.24
347.64,80,100,43.842,48.729
350.64,80,100,44.33,49.707
353.63,80,100,44.819,49.707
356.62,80,100,45.308,50.196
359.62,80,100,46.285,49.218
362.62,80,100,46.774,50.196
365.62,80,100,47.263,50.684
368.61,80,100,47.752,50.196
371.61,80,25,47.752,49.707
374.61,80,25,49.218,49.707
377.61,80,25,49.218,50.196
380.61,80,25,49.707,50.196
383.6,80,25,50.196,49.707
